,Winners,Losers
0,Dricus Du Plessis,Sean Strickland
1,Raquel Pennington,Mayra Bueno Silva
2,Neil Magny,Mike Malott
3,Chris Curtis,Marc-Andre Barriault
4,Movsar Evloev,Arnold Allen
5,Garrett Armfield,Brad Katona
6,Sean Woodson,Charles Jourdain
7,Ramon Taveras,Serhiy Sidey
8,Gillian Robertson,Polyana Viana
9,Sam Patterson,Yohan Lainesse
10,Jasmine Jasudavicius,Priscila Cachoeira
11,Jimmy Flick,Malcolm Gordon
12,Magomed Ankalaev,Johnny Walker
13,Jim Miller,Gabriel Benitez
14,Mario Bautista,Ricky Simon
15,Brunno Ferreira,Phil Hawes
16,Waldo Cortes-Acosta,Andrei Arlovski
17,Preston Parsons,Matthew Semelsberger
18,Marcus McGhee,Gaston Bolanos
19,Farid Basharat,Taylor Lapilus
20,Jean Silva,Westin Wilson
21,Nikolas Motta,Tom Nolan
22,Joshua Van,Felipe Bunes
23,Leon Edwards,Colby Covington
24,Alexandre Pantoja,Brandon Royval
25,Shavkat Rakhmonov,Stephen Thompson
26,Paddy Pimblett,Tony Ferguson
27,Josh Emmett,Bryce Mitchell
28,Alonzo Menifield,Dustin Jacoby
29,Irene Aldana,Karol Rosa
30,Cody Garbrandt,Brian Kelleher
31,Ariane Lipski,Casey O'Neill
32,Tagir Ulanbekov,Cody Durden
33,Andre Fili,Lucas Almeida
34,Shamil Gaziev,Martin Buday
35,Song Yadong,Chris Gutierrez
36,Khalil Rountree Jr.,Anthony Smith
37,Nasrat Haqparast,Jamie Mullarkey
38,Tim Elliott,Sumudaerji
39,Andre Muniz,JunYong Park
40,Kevin Jousset,Song Kenan
41,HyunSung Park,Shannon Ross
42,Steve Garcia,Melquizael Costa
43,Luana Santos,Stephanie Egger
44,Tatsuro Taira,Carlos Hernandez
45,Talita Alencar,Rayanne Amanda
46,Arman Tsarukyan,Beneil Dariush
47,Jalin Turner,Bobby Green
48,Deiveson Figueiredo,Rob Font
49,Sean Brady,Kelvin Gastelum
50,Joaquim Silva,Clay Guida
51,Dustin Stoltzfus,Punahele Soriano
52,Miesha Tate,Julia Avila
53,Cody Brundage,Zach Reese
54,Drakkar Klose,Joe Solecki
55,Rodolfo Bellato,Ihor Potieria
56,Jared Gooden,Wellington Turman
57,Veronica Hardy,Jamey-Lyn Horth
58,Brendan Allen,Paul Craig
59,Michael Morales,Jake Matthews
60,Chase Hooper,Jordan Leavitt
61,Payton Talbott,Nick Aguirre
62,Amanda Ribas,Luana Pinheiro
63,Myktybek Orolbai,Uros Medic
64,Joanderson Brito,Jonathan Pearce
65,Jose Johnson,Chad Anheliger
66,Christian Leroy Duncan,Denis Tiuliulin
67,Mick Parkin,Caio Machado
68,Jeka Saragih,Lucas Alexander
69,Ailin Perez,Lucie Pudilova
70,Trey Ogden,Nikolas Motta
71,Rafael Estevam,Charles Johnson
72,Alex Pereira,Jiri Prochazka
73,Tom Aspinall,Sergei Pavlovich
74,Jessica Andrade,Mackenzie Dern
75,Benoit Saint Denis,Matt Frevola
76,Diego Lopes,Pat Sabatini
77,Steve Erceg,Alessandro Costa
78,Loopy Godinez,Tabatha Ricci
79,Mateusz Rebecki,Roosevelt Roberts
80,Nazim Sadykhov,Viacheslav Borshchev
81,Jared Gordon,Mark Madsen
82,John Castaneda,Kyung Ho Kang
83,Joshua Van,Kevin Borjas
84,Jamall Emmers,Dennis Buzukja
85,Jailton Almeida,Derrick Lewis
86,Nicolas Dalby,Gabriel Bonfim
87,Rodrigo Nascimento,Don'Tale Mayes
88,Caio Borralho,Abus Magomedov
89,Elves Brener,Kaynan Kruschewsky
90,Rinat Fakhretdinov,Elizeu Zaleski dos Santos
91,Vitor Petrino,Modestas Bukauskas
92,Angela Hill,Denise Gomes
93,Eduarda Moura,Montserrat Conejo Ruiz
94,Marc Diakiese,Kaue Fernandes
95,Islam Makhachev,Alexander Volkanovski
96,Khamzat Chimaev,Kamaru Usman
97,Magomed Ankalaev,Johnny Walker
98,Ikram Aliskerov,Warlley Alves
99,Said Nurmagomedov,Muin Gafurov
100,Muhammad Mokaev,Tim Elliott
101,Trevor Peek,Mohammad Yahya
102,Javid Basharat,Victor Henry
103,Sedriques Dumas,Abu Azaitar
104,Mike Breeden,Anshul Jubli
105,Muhammad Naimov,Nathaniel Wood
106,Viktoriia Dudakova,Jinh Yu Frey
107,Shara Magomedov,Bruno Silva
108,Edson Barboza,Sodiq Yusuff
109,Viviane Araujo,Jennifer Maia
110,Jonathan Martinez,Adrian Yanez
111,Michel Pereira,Andre Petroski
112,Christian Rodriguez,Cameron Saaiman
113,Darren Elkins,TJ Brown
114,Tainara Lisboa,Ravena Oliveira
115,Terrance McKinney,Brendon Marotte
116,Melissa Dixon,Irina Alekseeva
117,Chris Gutierrez,Alatengheili
118,Emily Ducote,Ashley Yoder
119,Bobby Green,Grant Dawson
120,Joe Pyfer,Abdul Razak Alhassan
121,Joaquin Buckley,Alex Morono
122,Drew Dober,Ricky Glenn
123,Bill Algeo,Alexander Hernandez
124,Karolina Kowalkiewicz,Diana Belbita
125,Nate Maness,Mateus Mendonca
126,Vanessa Demopoulos,Kanako Murata
127,Aoriqileng,Johnny Munoz
128,JJ Aldrich,Montana De La Rosa
129,Mateusz Gamrot,Rafael Fiziev
130,Bryce Mitchell,Dan Ige
131,Marina Rodriguez,Michelle Waterson-Gomez
132,Bryan Battle,AJ Fletcher
133,Charles Jourdain,Ricardo Ramos
134,Dan Argueta,Miles Johns
135,Tim Means,Andre Fialho
136,Cody Brundage,Jacob Malkoun
137,Mohammed Usman,Jake Collier
138,Mizuki,Hannah Goldy
139,Montserrat Rendon,Tamires Vidal
140,Alexa Grasso,Valentina Shevchenko
141,Jack Della Maddalena,Kevin Holland
142,Raul Rosas Jr.,Terrence Mitchell
143,Daniel Zellhuber,Christos Giagos
144,Kyle Nelson,Fernando Padilla
145,Loopy Godinez,Elise Reed
146,Roman Kopylov,Josh Fremd
147,Edgar Chairez,Daniel Lacerda
148,Tracy Cortez,Jasmine Jasudavicius
149,Charlie Campbell,Alex Reyes
150,Josefine Knutsson,Marnic Mann
151,Sean Strickland,Israel Adesanya
152,Alexander Volkov,Tai Tuivasa
153,Manel Kape,Felipe dos Santos
154,Justin Tafa,Austen Lane
155,Tyson Pedro,Anton Turkalj
156,Carlos Ulberg,Da Woon Jung
157,Chepe Mariscal,Jack Jenkins
158,Jamie Mullarkey,John Makdessi
159,Nasrat Haqparast,Landon Quinones
160,Charles Radtke,Blood Diamond
161,Gabriel Miranda,Shane Young
162,Kevin Jousset,Kiefer Crosbie
163,Ciryl Gane,Serghei Spivac
164,Manon Fiorot,Rose Namajunas
165,Benoit Saint Denis,Thiago Moises
166,Volkan Oezdemir,Bogdan Guskov
167,William Gomis,Yanis Ghemmouri
168,Morgan Charriere,Manolo Zecchini
169,Taylor Lapilus,Caolan Loughran
170,Ange Loosa,Rhys McKee
171,Nora Cornolle,Joselyne Edwards
172,Farid Basharat,Kleydson Rodrigues
173,Jacqueline Cavalcanti,Zarah Fairn
174,Max Holloway,Chan Sung Jung
175,Anthony Smith,Ryan Spann
176,Giga Chikadze,Alex Caceres
177,Rinya Nakamura,Fernie Garcia
178,Erin Blanchfield,Taila Santos
179,Junior Tafa,Parker Porter
180,Waldo Cortes-Acosta,Lukasz Brzeski
181,Garrett Armfield,Toshiomi Kazama
182,Michal Oleksiejczuk,Chidi Njokuani
183,Song Kenan,Rolando Bedoya
184,Billy Goff,Yusaku Kinoshita
185,JJ Aldrich,Liang Na
186,SeungWoo Choi,Jarno Errens
187,Sean O'Malley,Aljamain Sterling
188,Zhang Weili,Amanda Lemos
189,Ian Garry,Neil Magny
190,Mario Bautista,Da'Mon Blackshear
191,Marlon Vera,Pedro Munhoz
192,Brad Tavares,Chris Weidman
193,Gregory Rodrigues,Denis Tiuliulin
194,Kurt Holobaugh,Austin Hubbard
195,Brad Katona,Cody Gibson
196,Andre Petroski,Gerald Meerschaert
197,Natalia Silva,Andrea Lee
198,Karine Silva,Maryna Moroz
199,Vicente Luque,Rafael Dos Anjos
200,Cub Swanson,Hakeem Dawodu
201,Khalil Rountree Jr.,Chris Daukaus
202,Iasmin Lucindo,Polyana Viana
203,AJ Dobson,Tafon Nchukwi
204,Josh Fremd,Jamie Pickett
205,Marcus McGhee,JP Buys
206,Terrance McKinney,Mike Breeden
207,Isaac Dulgarian,Francis Marshall
208,Martin Buday,Josh Parisian
209,Jaqueline Amorim,Montserrat Conejo Ruiz
210,Da'Mon Blackshear,Jose Johnson
211,Luana Santos,Juliana Miller
212,Cory Sandhagen,Rob Font
213,Tatiana Suarez,Jessica Andrade
214,Dustin Jacoby,Kennedy Nzechukwu
215,Diego Lopes,Gavin Tucker
216,Tanner Boser,Aleksa Camur
217,Ludovit Klein,Ignacio Bahamondes
218,Kyler Phillips,Raoni Barcelos
219,Carlston Harris,Jeremiah Wells
220,Billy Quarantillo,Damon Jackson
221,Cody Durden,Jake Hadley
222,Sean Woodson,Dennis Buzukja
223,Assu Almabayev,Ode Osbourne
224,Justin Gaethje,Dustin Poirier
225,Alex Pereira,Jan Blachowicz
226,Derrick Lewis,Marcos Rogerio de Lima
227,Bobby Green,Tony Ferguson
228,Kevin Holland,Michael Chiesa
229,Gabriel Bonfim,Trevin Giles
230,CJ Vergara,Vinicius Salvador
231,Roman Kopylov,Claudio Ribeiro
232,Jake Matthews,Darrius Flowers
233,Uros Medic,Matthew Semelsberger
234,Miranda Maverick,Priscila Cachoeira
235,Tom Aspinall,Marcin Tybura
236,Julija Stoliarenko,Molly McCann
237,Nathaniel Wood,Andre Fili
238,Paul Craig,Andre Muniz
239,Fares Ziam,Jai Herbert
240,Lerone Murphy,Josh Culibao
241,Daniel Marcos,Davey Grant
242,Jonny Parsons,Danny Roberts
243,Joel Alvarez,Marc Diakiese
244,Mick Parkin,Jamal Pogues
245,Makhmud Muradov,Bryan Barberena
246,Ketlen Vieira,Pannie Kianzad
247,Chris Duncan,Yanal Ashmouz
248,Bruna Brasil,Shauna Bannon
249,Jafel Filho,Daniel Barez
250,Holly Holm,Mayra Bueno Silva
251,Jack Della Maddalena,Bassil Hafez
252,Francisco Prado,Ottman Azaitar
253,JunYong Park,Albert Duraev
254,Norma Dumont,Chelsea Chandler
255,Nazim Sadykhov,Terrance McKinney
256,Melsik Baghdasaryan,Tucker Lutz
257,Viktoriia Dudakova,Istela Nunes
258,Melquizael Costa,Austin Lingo
259,Evan Elder,Genaro Valdez
260,Azat Maksum,Tyson Nam
261,Alexander Munoz,Carl Deaton
262,Ailin Perez,Ashlee Evans-Smith
263,Alexander Volkanovski,Yair Rodriguez
264,Alexandre Pantoja,Brandon Moreno
265,Dricus Du Plessis,Robert Whittaker
266,Dan Hooker,Jalin Turner
267,Bo Nickal,Val Woodburn
268,Robbie Lawler,Niko Price
269,Tatsuro Taira,Edgar Chairez
270,Denise Gomes,Yazmin Jauregui
271,Alonzo Menifield,Jimmy Crute
272,Vitor Petrino,Marcin Prachnio
